Unnamed: 0,#,Name,GP,G,A,PTS,PPG,SHG,PIMS,GWG,Team,img
0,9,Phillip Pugliese,21,14,7,21,3,1,18,0,M2 Adrian College,/static/img/backup.png
1,16,Ondrej Tomek,22,9,11,20,2,0,24,0,M2 Adrian College,/static/profile_pics/93b493f58db93678.png
2,10,Robert Bathory,22,6,10,16,0,2,8,1,M2 Adrian College,/static/img/backup.png
3,6,Tedrick Tarvis,19,9,6,15,0,0,2,0,M2 Adrian College,/static/img/backup.png
4,22,Devin Whitaker,22,7,8,15,2,0,10,1,M2 Adrian College,/static/img/backup.png
5,20,Stefan Boskovic,22,7,6,13,2,0,22,0,M2 Adrian College,/static/img/backup.png
6,24,Grant Kiepper,21,6,7,13,2,0,41,0,M2 Adrian College,/static/img/backup.png
7,27,Justin Session,20,5,7,12,0,0,41,1,M2 Adrian College,/static/img/backup.png
8,18,Matyas Mach,20,4,7,11,0,0,2,0,M2 Adrian College,/static/img/backup.png
9,2,Dominick Yamarino,21,7,3,10,1,0,16,0,M2 Adrian College,/static/img/backup.png
10,17,Dominik Mikulcak,20,1,8,9,0,0,4,1,M2 Adrian College,/static/img/backup.png
11,13,Adam Ryffel,20,1,6,7,0,0,4,0,M2 Adrian College,/static/img/backup.png
12,15,Zach Mcdonough,17,1,6,7,0,0,12,0,M2 Adrian College,/static/img/backup.png
13,28,Mitchell Kellerman,17,1,6,7,1,0,8,1,M2 Adrian College,/static/img/backup.png
14,23,Alexandre Sode,20,3,2,5,0,0,0,1,M2 Adrian College,/static/img/backup.png
15,8,Jiri Sup,16,3,2,5,0,0,2,0,M2 Adrian College,/static/img/backup.png
16,4,Nicholas Shuman,15,1,4,5,0,0,27,0,M2 Adrian College,/static/img/backup.png
17,12,Kyle Boerner,14,1,4,5,0,0,29,0,M2 Adrian College,/static/img/backup.png
18,5,Brett Siewertsen,22,0,5,5,0,0,10,0,M2 Adrian College,/static/img/backup.png
19,19,Phillip Grippi,8,3,1,4,0,0,0,0,M2 Adrian College,/static/img/backup.png
20,7,Nicholas Stanko,14,0,1,1,0,0,45,0,M2 Adrian College,/static/img/backup.png
21,31,Ben Perone,5,0,1,1,0,0,0,0,M2 Adrian College,/static/img/backup.png
22,30,Michael Barrett,0,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png
23,30,Cedric Joubert,7,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png
24,30,Connor Sheridan,1,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png
25,11,Michael Tratar,0,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png
0,16,Josh Delezenne,27,42,27,69,5,1,10,5,M2 Aurora University,/static/img/backup.png
1,12,Luke Picek,27,18,32,50,3,0,10,1,M2 Aurora University,/static/img/backup.png
2,15,Samuel Weiss,26,18,30,48,0,4,46,0,M2 Aurora University,/static/img/backup.png
3,23,Dan Zielecki,27,21,24,45,2,0,47,1,M2 Aurora University,/static/img/backup.png
4,18,Ian Sweeney,26,10,15,25,3,0,36,3,M2 Aurora University,/static/img/backup.png
5,19,Chris Laporte,27,12,12,24,2,4,14,0,M2 Aurora University,/static/img/backup.png
6,10,Patrick Macdonald,26,5,19,24,1,0,2,0,M2 Aurora University,/static/img/backup.png
7,2,Anders Lindgren,22,10,12,22,0,0,4,2,M2 Aurora University,/static/img/backup.png
8,20,Matthew Chamberlain,23,5,17,22,0,0,16,0,M2 Aurora University,/static/img/backup.png
9,11,Zach Tykocki,27,12,9,21,7,0,18,1,M2 Aurora University,728bd7a9a7ac87ce.jpg
10,5,Matt Fudala,27,7,6,13,0,1,4,2,M2 Aurora University,/static/img/backup.png
11,21,Isaac Arroyo,27,1,9,10,0,0,14,0,M2 Aurora University,/static/img/backup.png
12,9,Luke Williams,19,2,7,9,0,1,2,0,M2 Aurora University,/static/img/backup.png
13,6,Benjamin Grabarek,26,1,7,8,0,0,14,0,M2 Aurora University,/static/img/backup.png
14,4/86,Andrew Fattore,25,0,8,8,0,0,0,0,M2 Aurora University,/static/img/backup.png
15,8,Zack Miceli,26,2,5,7,0,0,30,1,M2 Aurora University,/static/img/backup.png
16,35,Cam Orsborn,19,0,1,1,0,0,0,0,M2 Aurora University,/static/img/backup.png
17,71,Timothy Faulkner,4,0,1,1,0,0,4,0,M2 Aurora University,/static/img/backup.png
18,0,Brian Tempel,4,0,0,0,0,0,0,0,M2 Aurora University,/static/img/backup.png
19,30,Gavin Carlson,3,0,0,0,0,0,0,0,M2 Aurora University,/static/img/backup.png
0,22,Riley Martin,15,16,5,21,2,0,6,0,M2 Bethel University,/static/img/backup.png
1,8,Asa Carlson,20,8,9,17,1,1,8,0,M2 Bethel University,/static/img/backup.png
2,4,Justice Chaffee,16,6,4,10,1,0,16,0,M2 Bethel University,/static/img/backup.png
3,6,Coleton Edgington,14,4,5,9,0,0,6,0,M2 Bethel University,/static/img/backup.png
4,25,Benjamin Perunovich,14,3,6,9,0,0,2,0,M2 Bethel University,/static/img/backup.png
5,7,Tyler Larwood,4,4,3,7,1,0,7,0,M2 Bethel University,/static/img/backup.png
6,23,Ryan Ackerman,19,2,5,7,0,0,6,0,M2 Bethel University,/static/img/backup.png
7,11,Logan Hulse,11,1,6,7,0,0,8,0,M2 Bethel University,/static/img/backup.png
8,12,Ethan Scheibe,3,1,3,4,0,0,0,0,M2 Bethel University,/static/img/backup.png
9,21,Jack Velasco,2,1,2,3,0,0,2,0,M2 Bethel University,/static/img/backup.png
10,27,Zac Villarreal,6,0,3,3,0,0,2,0,M2 Bethel University,/static/img/backup.png
11,10,Zack Spady,4,2,0,2,0,0,0,0,M2 Bethel University,/static/img/backup.png
12,HC/9,Ty Walls,4,1,1,2,0,0,2,0,M2 Bethel University,/static/img/backup.png
13,26,Mitchell OBrien,13,0,2,2,0,0,4,0,M2 Bethel University,/static/img/backup.png
14,9,Alex Byram,4,1,0,1,0,0,0,0,M2 Bethel University,/static/img/backup.png
15,17,Jackson Schroer,16,0,1,1,0,0,0,0,M2 Bethel University,/static/img/backup.png
16,49,Tony Harris,5,0,1,1,0,0,0,0,M2 Bethel University,/static/img/backup.png
17,19,Boston Knighton-Johnson,1,0,1,1,0,0,0,0,M2 Bethel University,/static/img/backup.png
18,35,Aaron Furlano,13,0,0,0,0,0,2,0,M2 Bethel University,/static/img/backup.png
19,2,Mario Hadley,3,0,0,0,0,0,2,0,M2 Bethel University,/static/img/backup.png
20,33,Tyler Hayft,3,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
21,3,Andrew Marod,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
22,16,Kyle Swanson,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
23,28,Austin Anderson,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
24,33,Riley Martin,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
25,34,Justice Chaffee,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
26,18,Jonathan Terpstra,0,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
27,20,Stephen Oslin,0,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png
0,2,Kyle Tintera,30,32,21,53,9,1,38,6,M2 Bradley University,/static/img/backup.png
1,6,Cory Kohut,30,7,21,28,5,0,14,1,M2 Bradley University,/static/img/backup.png
2,49,Brennen Peters,30,14,9,23,7,0,32,1,M2 Bradley University,/static/img/backup.png
3,82,Trevor Keune,27,6,15,21,0,0,4,1,M2 Bradley University,/static/img/backup.png
4,8,Sam Lucchese,30,5,14,19,3,0,34,0,M2 Bradley University,/static/img/backup.png
5,19,Kam Etchison,30,11,5,16,1,0,28,0,M2 Bradley University,/static/img/backup.png
6,24,Sam Bryant,30,4,9,13,2,0,12,1,M2 Bradley University,/static/img/backup.png
7,73,David Tuttle,30,3,10,13,0,0,4,0,M2 Bradley University,/static/img/backup.png
8,11,Seth Bishop,31,7,4,11,1,2,10,2,M2 Bradley University,/static/img/backup.png
9,4,Robert Blackburn,31,3,7,10,0,0,20,1,M2 Bradley University,/static/img/backup.png
10,54,Ryan Spence,26,6,3,9,0,0,40,0,M2 Bradley University,/static/img/backup.png
11,36,Nick Sorrentino,29,4,4,8,2,0,22,1,M2 Bradley University,/static/img/backup.png
12,52,Logan Nigg,14,3,5,8,0,1,30,0,M2 Bradley University,/static/img/backup.png
13,55,Andrew Schmitt,31,1,7,8,0,0,14,0,M2 Bradley University,/static/img/backup.png
14,15,Josh Crandall,21,1,1,2,1,0,6,0,M2 Bradley University,/static/img/backup.png
15,51,Joshua Soule,19,0,1,1,0,0,0,0,M2 Bradley University,/static/img/backup.png
16,3,Jack Power Wayvon,6,0,1,1,0,0,32,0,M2 Bradley University,/static/img/backup.png
17,41,Devun Schneider,13,0,0,0,0,0,0,0,M2 Bradley University,/static/img/backup.png
18,31,Scott Chernobrov,0,0,0,0,0,0,0,0,M2 Bradley University,/static/img/backup.png
0,24,Lawrence Rowe,23,13,15,28,2,2,52,0,M2 Central Michigan University,/static/img/backup.png
1,7,Jorden Cooper,24,13,11,24,4,0,81,2,M2 Central Michigan University,/static/img/backup.png
2,18,Alexander Dimarco,22,7,9,16,1,0,24,0,M2 Central Michigan University,/static/img/backup.png
3,3,Shaun Smith,24,8,7,15,1,1,26,2,M2 Central Michigan University,/static/img/backup.png
4,12,Nicolas Modas,24,6,9,15,1,0,16,0,M2 Central Michigan University,/static/img/backup.png
5,8,Aidan Hoffman,24,5,9,14,1,1,16,0,M2 Central Michigan University,/static/img/backup.png
6,15,Christopher Krzyzak,22,7,3,10,1,1,57,0,M2 Central Michigan University,/static/img/backup.png
7,20,Patrick Burke,24,4,6,10,0,0,28,1,M2 Central Michigan University,/static/img/backup.png
8,28,Shawn Viane,19,5,4,9,2,0,14,0,M2 Central Michigan University,/static/img/backup.png
9,21,Ryan Stumpf,24,2,7,9,0,0,12,0,M2 Central Michigan University,/static/img/backup.png
10,9,Michael James,23,2,4,6,0,0,12,0,M2 Central Michigan University,/static/img/backup.png
11,6,Ian Sierota,23,0,5,5,0,0,16,0,M2 Central Michigan University,/static/img/backup.png
12,27,Brandon Skiles,23,1,3,4,0,0,10,0,M2 Central Michigan University,/static/img/backup.png
13,22,Brayden Chritz,23,0,4,4,0,0,10,0,M2 Central Michigan University,/static/img/backup.png
14,16,Brendan Raney,22,3,0,3,0,0,20,1,M2 Central Michigan University,/static/img/backup.png
15,0,Dylan Coomes,4,1,2,3,0,0,0,0,M2 Central Michigan University,/static/img/backup.png
16,4,Chris Kennard,22,0,3,3,0,0,18,0,M2 Central Michigan University,/static/img/backup.png
17,13,Brent Bouck,13,1,1,2,0,0,4,1,M2 Central Michigan University,/static/img/backup.png
18,10,Steven Jacques,24,0,2,2,0,0,4,0,M2 Central Michigan University,/static/img/backup.png
19,25,Brendan Crippen,22,0,2,2,0,0,16,0,M2 Central Michigan University,/static/img/backup.png
20,23,Cameron Messer,20,0,1,1,0,0,8,0,M2 Central Michigan University,/static/img/backup.png
21,1,Jonah Heath,14,0,0,0,0,0,0,0,M2 Central Michigan University,/static/img/backup.png
22,29,Patrick Newton,11,0,0,0,0,0,2,0,M2 Central Michigan University,/static/img/backup.png
23,11,Adam Gagnon,6,0,0,0,0,0,2,0,M2 Central Michigan University,/static/img/backup.png
24,30,Jack Valentine,5,0,0,0,0,0,0,0,M2 Central Michigan University,/static/img/backup.png
0,26,Jonathan Grodzki,29,22,39,61,3,2,13,0,M2 Concordia of Wisconsin,/static/img/backup.png
1,2,Cody Faber,29,19,28,47,6,0,12,4,M2 Concordia of Wisconsin,/static/img/backup.png
2,18,Trenton Sherman,29,17,22,39,1,2,7,3,M2 Concordia of Wisconsin,/static/img/backup.png
