,teams,img
0, Adrian College ,http://www.pointstreak.com/logos/small/league1800/team726719.gif
1, #7 Aurora University , http://www.pointstreak.com/logos/small/league1800/team508763.gif
2,  Bethel University , http://www.pointstreak.com/logos/small/league1800/team528690.gif
3,  Bradley University , http://www.pointstreak.com/logos/small/league1800/team508823.gif
4,  Central Michigan University , http://www.pointstreak.com/logos/small/league1800/team514040.gif
5,  Concordia of Wisconsin , http://www.pointstreak.com/logos/small/league1800/team754166.png
6, #8 Davenport University , http://www.pointstreak.com/logos/small/league1800/team726735.gif
7,  DePaul University , http://www.pointstreak.com/logos/small/league1800/team725013.png
8,  Finlandia University , http://www.pointstreak.com/logos/small/league1800/team725423.gif
9, #9 Grand Valley State University , http://www.pointstreak.com/logos/small/league1800/team724349.png
10,  Gustavus Adolphus College , http://www.pointstreak.com/logos/small/league1800/team722076.gif
11,  Illinois State University , http://www.pointstreak.com/logos/small/league1800/team508824.gif
12,  Iowa State University , http://www.pointstreak.com/logos/small/league1800/team508836.gif
13,  Lewis University , http://www.pointstreak.com/logos/small/league1800/team722849.png
14, #1 Lindenwood University , http://www.pointstreak.com/logos/small/league1800/team514082.gif
15, #3 Marian University , http://www.pointstreak.com/logos/small/league1800/team724409.png
16,  Marquette University , http://www.pointstreak.com/logos/small/league1800/team508830.gif
17,  Maryville University , http://www.pointstreak.com/logos/small/league1800/team755231.png
18,  McKendree University , http://www.pointstreak.com/logos/small/league1800/team755233.png
19,  Michigan State University , http://www.pointstreak.com/logos/small/league1800/team514096.gif
20,  Michigan Tech University , http://www.pointstreak.com/logos/small/league1800/team726416.gif
21,  Minnesota State Univ - Mankato , http://www.pointstreak.com/logos/small/league1800/team514100.gif
22,  Minnesota State Univ - Moorhead , http://www.pointstreak.com/logos/small/league1800/team726346.png
23,  North Dakota State , http://www.pointstreak.com/logos/small/league1800/team514118.gif
24,  Northern Michigan University , http://www.pointstreak.com/logos/small/league1800/team754171.png
25,  Purdue Northwest , http://www.pointstreak.com/logos/small/league1800/team756768.png
26,  Robert Morris University , http://www.pointstreak.com/logos/small/league1800/team724323.png
27,  Saint Cloud State University , http://www.pointstreak.com/logos/small/league1800/team721822.gif
28,  Saint Johns University , http://www.pointstreak.com/logos/small/league1800/team725975.png
29,  Saint Louis University , http://www.pointstreak.com/logos/small/league1800/team724306.png
30,  Saint Marys University (MN) , http://www.pointstreak.com/logos/small/league1800/team725542.gif
31,  Saint Norbert College , http://www.pointstreak.com/logos/small/league1800/team727935.gif
32, #2 Sault College , http://www.pointstreak.com/logos/small/league1800/team659330.gif
33,  Southern Illinois -Edwardsville , http://www.pointstreak.com/logos/small/league1800/team514154.gif
34, #4 Trine University , http://www.pointstreak.com/logos/small/league1800/team754081.gif
35,  University of Illinois , http://www.pointstreak.com/logos/small/league1800/team514071.gif
36, #6 University of Iowa , http://www.pointstreak.com/logos/small/league1800/team726095.png
37,  University of Michigan , http://www.pointstreak.com/logos/small/league1800/team754082.gif
38, #11 University of Minnesota , http://www.pointstreak.com/logos/small/league1800/team721992.png
39,  University of Minnesota-Duluth , http://www.pointstreak.com/logos/small/league1800/team724357.gif
40,  University of North Dakota , http://www.pointstreak.com/logos/small/league1800/team575515.gif
41, #5 University of Saint Thomas , http://www.pointstreak.com/logos/small/league1800/team754243.gif
42, #12 University of Wisc.-Eau Claire , http://www.pointstreak.com/logos/small/league1800/team514189.gif
43,  University of Wisc.-LaCrosse , http://www.pointstreak.com/logos/small/league1800/team583490.gif
44,  University of Wisc.-Oshkosh , http://www.pointstreak.com/logos/small/league1800/team754173.gif
45, #10 University of Wisconsin , http://www.pointstreak.com/logos/small/league1800/team724156.png
46,  Winona State University , http://www.pointstreak.com/logos/small/league1800/team754248.gif
0, Army ,http://www.pointstreak.com/logos/small/league1800/team726832.png
1,  Bentley University , http://www.pointstreak.com/logos/small/league1800/team723078.png
2, #6 Boston College , http://www.pointstreak.com/logos/small/league1800/team514026.gif
3, #8 Boston University , http://www.pointstreak.com/logos/small/league1800/team722585.png
4,  Bridgewater State University , http://www.pointstreak.com/logos/small/league1800/team514030.gif
5, #10 Bryant University , http://www.pointstreak.com/logos/small/league1800/team514032.gif
6,  Central Connecticut State Univ. , http://www.pointstreak.com/logos/small/league1800/team754192.png
7,  Clarkson University , http://www.pointstreak.com/logos/small/league1800/team681532.png
8,  College of Holy Cross , http://www.pointstreak.com/logos/small/league1800/team725113.png
9,  Connecticut College , http://www.pointstreak.com/logos/small/league1800/team726063.gif
10,  Eastern Connecticut State Univ. , http://www.pointstreak.com/logos/small/league1800/team514055.gif
11,  Erie Community College , http://www.pointstreak.com/logos/small/league1800/team680855.gif
12,  Hobart College , http://www.pointstreak.com/logos/small/league1800/team757627.png
13, #2 Keene State College , http://www.pointstreak.com/logos/small/league1800/team514075.gif
14, #12 Marist College , http://www.pointstreak.com/logos/small/league1800/team721898.gif
15,  Mercyhurst University , http://www.pointstreak.com/logos/small/league1800/team722844.png
16,  Merrimack College , http://www.pointstreak.com/logos/small/league1800/team514094.gif
17,  Montclair State University , http://www.pointstreak.com/logos/small/league1800/team514108.gif
18, #5 Northeastern University , http://www.pointstreak.com/logos/small/league1800/team514119.gif
19,  Norwich University , http://www.pointstreak.com/logos/small/league1800/team514123.gif
20,  Providence College , http://www.pointstreak.com/logos/small/league1800/team724723.gif
21, #3 Rensselaer Polytechnic Institute , http://www.pointstreak.com/logos/small/league1800/team514134.gif
22, #7 Roger Williams University , http://www.pointstreak.com/logos/small/league1800/team754144.gif
23, #9 Sacred Heart University , http://www.pointstreak.com/logos/small/league1800/team722892.png
24,  Saint Anselm College , http://www.pointstreak.com/logos/small/league1800/team727824.png
25,  Saint Lawrence University , http://www.pointstreak.com/logos/small/league1800/team683542.png
26,  Siena College , http://www.pointstreak.com/logos/small/league1800/team754197.gif
27,  Southern New Hampshire Univ. , http://www.pointstreak.com/logos/small/league1800/team722908.png
28,  Stonehill College , http://www.pointstreak.com/logos/small/league1800/team727758.gif
29,  Suffolk University , http://www.pointstreak.com/logos/small/league1800/team727679.png
30,  University of Albany , http://www.pointstreak.com/logos/small/league1800/team729160.png
31,  University of Connecticut , http://www.pointstreak.com/logos/small/league1800/team754162.gif
32,  University of Maine , http://www.pointstreak.com/logos/small/league1800/team514087.gif
33, #1 University of Mass.-Amherst , http://www.pointstreak.com/logos/small/league1800/team721943.png
34,  University of Mass.-Lowell , http://www.pointstreak.com/logos/small/league1800/team726354.png
