,Unnamed: 0,#,Name,GP,G,A,PTS,PPG,SHG,PIMS,GWG,Team,img,imgx
0,0,9,Phillip Pugliese,21,14,7,21,3,1,18,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
1,1,16,Ondrej Tomek,22,9,11,20,2,0,24,0,M2 Adrian College,/static/profile_pics/93b493f58db93678.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
2,2,10,Robert Bathory,22,6,10,16,0,2,8,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
3,3,6,Tedrick Tarvis,19,9,6,15,0,0,2,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
4,4,22,Devin Whitaker,22,7,8,15,2,0,10,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
5,5,20,Stefan Boskovic,22,7,6,13,2,0,22,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
6,6,24,Grant Kiepper,21,6,7,13,2,0,41,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
7,7,27,Justin Session,20,5,7,12,0,0,41,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
8,8,18,Matyas Mach,20,4,7,11,0,0,2,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
9,9,2,Dominick Yamarino,21,7,3,10,1,0,16,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
10,10,17,Dominik Mikulcak,20,1,8,9,0,0,4,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
11,11,13,Adam Ryffel,20,1,6,7,0,0,4,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
12,12,15,Zach Mcdonough,17,1,6,7,0,0,12,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
13,13,28,Mitchell Kellerman,17,1,6,7,1,0,8,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
14,14,23,Alexandre Sode,20,3,2,5,0,0,0,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
15,15,8,Jiri Sup,16,3,2,5,0,0,2,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
